After 97 global rounds, Test acc1: 67.97, Test acc5: 97.6
After 98 global rounds, Test acc1: 68.14, Test acc5: 97.8
After 99 global rounds, Test acc1: 68.58, Test acc5: 97.81
After 100 global rounds, Test acc1: 68.2, Test acc5: 97.72999999999999
After 101 global rounds, Test acc1: 68.83, Test acc5: 97.78999999999999
After 102 global rounds, Test acc1: 68.56, Test acc5: 97.89999999999999
After 103 global rounds, Test acc1: 68.62, Test acc5: 97.81
After 104 global rounds, Test acc1: 69.12, Test acc5: 97.95
After 105 global rounds, Test acc1: 69.04, Test acc5: 97.87
After 106 global rounds, Test acc1: 69.08, Test acc5: 97.85000000000001
After 107 global rounds, Test acc1: 69.41000000000001, Test acc5: 97.95
After 108 global rounds, Test acc1: 68.99, Test acc5: 97.99
After 109 global rounds, Test acc1: 69.39999999999999, Test acc5: 97.86
After 110 global rounds, Test acc1: 69.27, Test acc5: 97.94
After 111 global rounds, Test acc1: 69.56, Test acc5: 97.88
After 112 global rounds, Test acc1: 69.53, Test acc5: 97.89
After 113 global rounds, Test acc1: 69.91000000000001, Test acc5: 97.78
After 114 global rounds, Test acc1: 70.37, Test acc5: 97.98
After 115 global rounds, Test acc1: 69.86, Test acc5: 97.96000000000001
After 116 global rounds, Test acc1: 70.24000000000001, Test acc5: 97.86
After 117 global rounds, Test acc1: 70.19999999999999, Test acc5: 97.88
After 118 global rounds, Test acc1: 70.27, Test acc5: 97.99
After 119 global rounds, Test acc1: 70.35, Test acc5: 97.91
After 120 global rounds, Test acc1: 70.09, Test acc5: 97.97
After 121 global rounds, Test acc1: 70.77, Test acc5: 98.0
After 122 global rounds, Test acc1: 70.67, Test acc5: 97.91
After 123 global rounds, Test acc1: 70.78, Test acc5: 97.94
After 124 global rounds, Test acc1: 70.67999999999999, Test acc5: 98.0
After 125 global rounds, Test acc1: 70.56, Test acc5: 98.0
After 126 global rounds, Test acc1: 70.89, Test acc5: 97.97
After 127 global rounds, Test acc1: 71.06, Test acc5: 98.05
After 128 global rounds, Test acc1: 70.78, Test acc5: 98.07000000000001
After 129 global rounds, Test acc1: 70.95, Test acc5: 97.92999999999999
After 130 global rounds, Test acc1: 70.95, Test acc5: 97.97
After 131 global rounds, Test acc1: 71.0, Test acc5: 98.13
After 132 global rounds, Test acc1: 70.94, Test acc5: 98.08
After 133 global rounds, Test acc1: 71.04, Test acc5: 98.04
After 134 global rounds, Test acc1: 71.32, Test acc5: 98.15
After 135 global rounds, Test acc1: 71.17999999999999, Test acc5: 98.17
After 136 global rounds, Test acc1: 71.33, Test acc5: 98.1
After 137 global rounds, Test acc1: 71.67999999999999, Test acc5: 98.26
After 138 global rounds, Test acc1: 71.65, Test acc5: 98.2
After 139 global rounds, Test acc1: 71.32, Test acc5: 98.18
After 140 global rounds, Test acc1: 71.74000000000001, Test acc5: 98.17
After 141 global rounds, Test acc1: 71.58, Test acc5: 98.19
After 142 global rounds, Test acc1: 72.00999999999999, Test acc5: 98.14
After 143 global rounds, Test acc1: 71.93, Test acc5: 98.2
After 144 global rounds, Test acc1: 72.03, Test acc5: 98.2
After 145 global rounds, Test acc1: 72.04, Test acc5: 98.34
After 146 global rounds, Test acc1: 72.22, Test acc5: 98.29
After 147 global rounds, Test acc1: 71.87, Test acc5: 98.21
After 148 global rounds, Test acc1: 71.97, Test acc5: 98.3
After 149 global rounds, Test acc1: 72.21, Test acc5: 98.21
After 150 global rounds, Test acc1: 72.39, Test acc5: 98.24000000000001
After 151 global rounds, Test acc1: 72.23, Test acc5: 98.28
After 152 global rounds, Test acc1: 72.41, Test acc5: 98.32
After 153 global rounds, Test acc1: 72.5, Test acc5: 98.34
After 154 global rounds, Test acc1: 72.50999999999999, Test acc5: 98.29
After 155 global rounds, Test acc1: 72.82, Test acc5: 98.36
After 156 global rounds, Test acc1: 72.67, Test acc5: 98.36
After 157 global rounds, Test acc1: 73.17, Test acc5: 98.36
After 158 global rounds, Test acc1: 72.92999999999999, Test acc5: 98.39
After 159 global rounds, Test acc1: 72.63, Test acc5: 98.34
After 160 global rounds, Test acc1: 72.72999999999999, Test acc5: 98.29
After 161 global rounds, Test acc1: 72.99, Test acc5: 98.42
After 162 global rounds, Test acc1: 73.27, Test acc5: 98.44000000000001
After 163 global rounds, Test acc1: 73.26, Test acc5: 98.38
After 164 global rounds, Test acc1: 72.82, Test acc5: 98.28
After 165 global rounds, Test acc1: 73.05, Test acc5: 98.42999999999999
After 166 global rounds, Test acc1: 72.92999999999999, Test acc5: 98.44000000000001
After 167 global rounds, Test acc1: 73.17, Test acc5: 98.48
After 168 global rounds, Test acc1: 73.21, Test acc5: 98.49
After 169 global rounds, Test acc1: 73.19, Test acc5: 98.4
After 170 global rounds, Test acc1: 73.31, Test acc5: 98.35000000000001
After 171 global rounds, Test acc1: 73.34, Test acc5: 98.42999999999999
After 172 global rounds, Test acc1: 73.4, Test acc5: 98.38
After 173 global rounds, Test acc1: 73.66, Test acc5: 98.4
After 174 global rounds, Test acc1: 73.27, Test acc5: 98.35000000000001
After 175 global rounds, Test acc1: 73.8, Test acc5: 98.47
After 176 global rounds, Test acc1: 73.68, Test acc5: 98.42
After 177 global rounds, Test acc1: 73.57000000000001, Test acc5: 98.53
After 178 global rounds, Test acc1: 73.6, Test acc5: 98.38
After 179 global rounds, Test acc1: 73.59, Test acc5: 98.38
After 180 global rounds, Test acc1: 73.67, Test acc5: 98.5
After 181 global rounds, Test acc1: 73.52, Test acc5: 98.36
After 182 global rounds, Test acc1: 73.54, Test acc5: 98.37
After 183 global rounds, Test acc1: 73.96000000000001, Test acc5: 98.46000000000001
After 184 global rounds, Test acc1: 73.77, Test acc5: 98.45
After 185 global rounds, Test acc1: 73.76, Test acc5: 98.47
After 186 global rounds, Test acc1: 74.25, Test acc5: 98.49
After 187 global rounds, Test acc1: 74.13, Test acc5: 98.54
After 188 global rounds, Test acc1: 74.21, Test acc5: 98.54
